CUST_NO,EPOCH,TRANS_AMOUNT
3925,05/08/2015,600
1870,22/10/2015,5500
9386,02/07/2014,950
2163,21/07/2014,450
4704,02/04/2015,4150
5034,10/02/2015,750
4071,30/06/2014,1150
1709,28/08/2014,2250
1806,30/09/2015,750
6837,02/11/2015,1350
3745,30/06/2014,850
5096,26/11/2014,600
5490,05/08/2015,1100
6588,23/01/2015,1800
4170,08/07/2015,2600
6762,03/11/2014,1000
5415,03/06/2015,600
5369,30/12/2014,400
6738,09/09/2015,1000
2482,05/08/2014,800
9869,27/02/2015,1950
3080,08/09/2014,1050
8223,07/08/2015,1400
1710,11/08/2015,300
2429,29/06/2015,1050
3293,21/07/2015,3650
79,25/06/2015,1450
4670,03/10/2014,2400
4844,25/05/2015,1900
9508,13/08/2015,800
2343,08/12/2014,700
2251,15/12/2014,400
6864,27/04/2015,1200
6161,24/08/2015,1100
3483,01/09/2014,2150
8922,11/06/2015,600
9141,18/05/2015,400
6731,30/06/2014,1400
9472,12/03/2015,1050
2570,24/09/2014,850
5576,16/09/2014,600
9689,07/08/2014,950
780,22/05/2015,7150
3801,20/04/2015,600
6116,30/03/2015,2050
593,18/05/2015,700
178,23/03/2015,1250
3355,14/09/2015,950
3899,28/11/2014,350
7670,30/12/2014,700
8664,09/03/2015,800
2833,17/02/2015,750
9331,18/06/2015,1550
5020,28/10/2014,3500
9697,23/07/2014,700
7089,22/04/2015,1100
2218,28/08/2014,650
9642,07/04/2015,500
2580,22/06/2015,1400
7415,07/10/2015,1050
1131,25/08/2014,1650
7649,05/11/2014,400
239,28/09/2015,100
8353,11/11/2014,1300
7809,02/06/2015,700
5412,06/07/2015,1000
3557,12/10/2015,400
80,20/03/2015,1500
1696,18/09/2014,1150
4797,03/02/2015,1600
7524,06/07/2015,950
7683,22/09/2014,1050
8983,22/06/2015,1000
8365,05/08/2015,1000
3394,08/10/2014,650
2525,22/07/2015,350
8786,14/08/2014,700
2567,05/05/2015,200
3925,05/11/2014,650
1870,24/08/2015,5500
9386,05/08/2014,950
2163,19/09/2014,450
4704,02/09/2015,4050
5034,10/09/2014,750
4071,28/04/2015,1150
1709,30/03/2015,4450
1806,30/10/2014,750
6837,02/03/2015,1350
3745,29/07/2015,700
5096,26/01/2015,600
5647,28/08/2015,550
6588,18/09/2015,1750
4170,10/11/2014,2600
6762,02/02/2015,1000
5415,03/03/2015,600
5369,28/07/2015,400
6738,10/08/2015,1000
2482,02/09/2015,750
9869,27/10/2015,1900
3080,07/04/2015,1050
8223,07/01/2015,1450
1710,11/05/2015,650
2429,28/10/2014,1050
3293,21/09/2015,3400
79,25/05/2015,1450
4670,05/01/2015,2350
4844,23/07/2014,1950
9508,13/08/2014,800
7262,27/04/2015,1400
2251,14/07/2014,400
6864,27/08/2015,1150
6161,24/11/2014,1100
3483,23/03/2015,9300
8922,11/07/2014,600
9141,16/06/2015,400
6731,28/10/2014,1400
9472,02/11/2015,1050
2570,24/03/2015,850
5576,16/02/2015,600
9689,07/01/2015,900
780,24/08/2015,6950
3801,28/07/2014,600
6116,28/11/2014,1050
593,18/08/2014,700
178,21/09/2015,450
3355,16/03/2015,950
4770,30/06/2015,3800
7952,05/08/2014,700
8664,11/08/2014,800
2833,18/08/2014,750
9331,20/10/2014,1600
5020,27/04/2015,3500
9697,23/04/2015,700
7089,24/11/2014,1150
2218,28/07/2014,650
9642,06/02/2015,500
2580,22/04/2015,1450
7415,09/02/2015,1050
1131,24/09/2015,1650
7649,06/07/2015,400
239,28/04/2015,1050
8353,11/07/2014,1300
7809,01/09/2014,700
5412,05/05/2015,1000
2309,14/10/2014,1250
80,20/10/2014,1500
1696,18/07/2014,1150
4797,03/12/2014,1600
7524,05/05/2015,950
7683,22/12/2014,1050
8983,22/10/2014,1050
8365,05/08/2014,800
3394,08/07/2015,650
2525,24/08/2015,350
8786,14/11/2014,700
2567,03/11/2014,200
3925,07/04/2015,650
1870,22/09/2014,5500
68,17/11/2014,700
2163,20/04/2015,450
4704,02/06/2015,4150
5034,10/11/2014,750
4071,28/08/2015,1150
1709,29/09/2014,2250
1806,30/06/2014,750
6837,02/04/2015,1350
3745,31/08/2015,700
5096,30/12/2014,600
5647,28/10/2014,550
6588,26/06/2015,1750
4170,08/09/2015,2600
6762,02/09/2015,1000
5415,03/07/2014,650
5369,28/07/2014,400
6738,09/04/2015,1000
2482,02/03/2015,800
9869,27/11/2014,1950
3080,06/10/2015,1050
8223,07/04/2015,1450
1710,11/03/2015,100
2429,28/05/2015,1050
3293,21/10/2014,3700
79,25/02/2015,1150
4670,05/08/2014,2400
4844,25/08/2014,1950
9508,13/01/2015,800
7262,28/09/2015,1400
2251,13/11/2014,400
6864,30/12/2014,1200
6161,23/03/2015,1100
3483,01/08/2014,2150
8922,11/08/2015,600
9141,16/07/2014,400
6731,28/08/2015,1400
9472,12/11/2014,1050
3146,20/04/2015,500
5576,16/07/2014,600
9689,08/06/2015,900
780,22/08/2014,7300
3801,17/11/2014,600
4347,07/04/2015,1400
593,17/12/2014,700
178,21/08/2014,1250
5794,01/12/2014,800
4770,30/09/2015,2550
7952,07/04/2015,700
8664,09/09/2015,800
2833,17/12/2014,750
9331,18/12/2014,1550
5020,02/11/2015,250
14,28/08/2014,500
7089,23/02/2015,1100
2218,28/05/2015,650
9642,08/06/2015,500
2580,22/07/2015,1400
7415,07/08/2014,1050
1131,25/05/2015,1650
7649,07/04/2015,400
2968,05/01/2015,1050
8353,11/05/2015,1250
7809,01/12/2014,700
5290,18/09/2014,950
2309,14/08/2014,1250
80,20/08/2015,1500
1696,20/07/2015,1100
4797,05/05/2015,1600
7524,04/08/2015,950
7683,25/06/2015,2000
8983,22/10/2015,1000
8365,06/07/2015,1300
3394,10/08/2015,650
2525,22/04/2015,350
8786,14/01/2015,700
2567,03/09/2015,200
3925,05/09/2014,650
1870,23/03/2015,5500
68,16/02/2015,700
2163,19/05/2015,450
4704,02/12/2014,4200
5034,12/01/2015,750
4071,28/07/2015,1150
1709,28/10/2015,2250
6380,18/07/2014,4000
6837,02/12/2014,1350
3745,30/03/2015,1400
5096,28/10/2014,600
5647,28/10/2015,550
6588,30/12/2014,1800
4170,08/12/2014,2600
6762,04/08/2015,1000
5415,03/11/2014,650
5369,28/01/2015,400
5635,25/09/2014,1800
2482,02/04/2015,800
9869,28/10/2014,1950
3080,06/11/2014,1050
8223,07/08/2014,1450
1710,11/09/2014,100
2429,28/10/2015,1050
3293,21/08/2014,3250
2012,17/10/2014,1050
4670,03/06/2015,2350
4844,25/03/2015,2250
9508,13/03/2015,800
7262,26/08/2014,1450
2251,13/10/2014,400
6864,27/11/2014,1200
6161,23/09/2015,1450
3483,23/10/2015,9050
1149,29/09/2015,1300
3991,26/08/2015,450
6731,28/04/2015,1400
9472,05/05/2015,1050
3146,18/09/2015,500
5576,17/11/2014,600
9689,07/10/2014,950
780,22/10/2015,6800
3801,26/01/2015,600
4347,07/11/2014,1450
593,17/02/2015,700
178,21/08/2015,450
5794,02/06/2015,800
4770,28/11/2014,1650
7952,03/03/2015,700
8664,09/09/2014,800
2833,17/09/2015,750
9331,18/02/2015,1550
5020,28/07/2014,3550
14,30/12/2014,500
7089,22/05/2015,1100
2218,30/03/2015,1250
9642,07/07/2014,500
2580,23/03/2015,1450
7415,07/01/2015,1050
1131,24/07/2015,1650
7649,06/10/2014,400
2968,06/07/2015,1050
8353,11/02/2015,1250
7809,05/05/2015,700
5290,18/08/2014,950
2309,15/12/2014,1250
80,21/07/2014,1500
1696,18/06/2015,1100
4797,03/06/2015,1600
7524,04/09/2014,1000
7683,21/10/2015,1000
643,02/04/2015,750
8365,05/12/2014,800
1504,30/03/2015,1600
2525,22/08/2014,350
8786,14/09/2015,750
2567,03/06/2015,200
3925,05/02/2015,650
1870,22/08/2014,5500
68,16/09/2015,700
5660,19/11/2014,1200
3886,30/12/2014,1800
716,20/07/2015,1150
4071,28/09/2015,1150
1709,28/07/2015,2250
6380,19/01/2015,4200
805,24/03/2015,950
3745,29/09/2015,700
5096,26/06/2015,600
5647,30/03/2015,1100
6588,29/05/2015,2700
4170,02/11/2015,1500
6762,02/01/2015,1000
5953,26/11/2014,1800
5397,30/12/2014,700
5635,27/10/2015,1800
2482,02/11/2015,750
9869,27/07/2015,1900
3080,06/03/2015,1050
8223,07/05/2015,1450
1710,11/07/2014,100
2429,28/08/2015,1050
3293,21/08/2015,3400
2012,18/08/2014,1050
4670,05/10/2015,2300
4844,23/06/2015,1900
9508,13/02/2015,800
7262,26/08/2015,1400
2251,13/04/2015,450
6864,27/01/2015,1200
6161,23/06/2015,1100
2805,28/10/2014,3000
1149,30/12/2014,2700
3991,27/08/2014,450
6731,28/05/2015,1400
9472,01/07/2015,1050
3146,17/09/2014,650
5576,16/09/2015,600
9689,07/04/2015,900
780,22/07/2015,6950
3801,27/07/2015,600
4347,07/08/2015,1350
593,17/09/2015,650
178,22/06/2015,1250
5794,02/11/2015,850
4770,30/09/2014,3800
7952,05/05/2015,700
8664,09/07/2015,800
2833,17/07/2014,750
9331,18/08/2015,1550
5020,27/11/2014,3500
14,28/07/2015,500
7089,23/03/2015,1100
2218,28/11/2014,650
9642,06/10/2015,500
2580,22/05/2015,1450
7415,07/07/2015,1050
1131,27/10/2015,1650
7649,05/12/2014,400
2968,04/09/2014,1050
8353,13/07/2015,1250
7809,01/07/2014,700
5290,19/01/2015,950
2309,14/11/2014,1250
80,22/09/2014,1500
1696,18/08/2015,1100
4797,03/09/2014,1600
7524,04/07/2014,1000
7683,23/03/2015,1050
643,02/07/2015,750
8365,05/05/2015,1300
1504,28/11/2014,800
2525,23/03/2015,350
8786,16/02/2015,750
2567,03/07/2014,200
3925,05/05/2015,650
1870,22/07/2014,5500
68,16/01/2015,700
5660,20/07/2015,1200
3886,28/07/2014,1850
716,18/09/2014,1200
4071,29/09/2014,1150
1709,30/12/2014,2250
6380,18/11/2014,4300
805,24/07/2014,950
3745,29/04/2015,700
4561,30/06/2014,2050
5647,28/09/2015,550
2472,11/12/2014,950
3319,15/09/2014,1000
6762,02/03/2015,1000
5953,26/05/2015,1750
5397,26/09/2014,700
5635,25/09/2015,1800
2482,02/01/2015,800
9869,27/08/2015,1900
3080,08/06/2015,1050
719,02/01/2015,1100
1710,13/10/2014,100
2429,28/09/2015,1050
3293,21/07/2014,3250
2012,17/06/2015,1050
4670,05/05/2015,2350
4844,30/12/2014,4150
9508,13/04/2015,800
7262,26/09/2014,1450
2251,13/10/2015,400
6864,29/06/2015,1150
6161,23/01/2015,1100
2805,16/02/2015,2950
1149,29/05/2015,1350
3991,29/07/2015,550
6731,29/09/2014,1400
2619,22/05/2015,500
3146,17/11/2014,650
5576,17/08/2015,600
9689,07/07/2014,950
780,22/12/2014,8800
3801,22/09/2014,600
4347,07/01/2015,1400
593,17/10/2014,700
178,21/01/2015,1250
5794,01/07/2015,800
4770,19/02/2015,450
7952,03/06/2015,700
8664,09/06/2015,800
2833,17/09/2014,750
9331,18/07/2014,1600
5020,27/02/2015,3500
14,28/01/2015,500
7089,22/01/2015,1100
2218,28/04/2015,650
9642,06/03/2015,500
2580,22/08/2014,1500
7415,07/08/2015,1050
1131,26/01/2015,1650
7649,05/09/2014,400
2968,05/05/2015,1050
8353,11/03/2015,1250
7809,02/03/2015,700
5290,18/05/2015,950
2309,14/01/2015,1250
80,20/05/2015,1500
1696,18/11/2014,1150
4797,07/04/2015,1600
7524,04/03/2015,950
7683,21/11/2014,1050
643,02/03/2015,750
8365,05/02/2015,800
1504,28/07/2015,800
2525,22/10/2015,350
8786,14/07/2014,700
2567,04/08/2015,200
6828,25/06/2015,1650
9773,28/05/2015,950
68,18/05/2015,700
5660,20/04/2015,1200
3886,30/03/2015,3550
716,20/04/2015,1150
4071,28/11/2014,1150
1709,28/07/2014,2250
6380,20/07/2015,4150
805,24/12/2014,950
3745,29/07/2014,850
4561,30/12/2014,2100
5647,29/09/2014,550
2472,13/04/2015,950
3319,14/07/2014,1000
6762,02/07/2015,1000
5953,27/10/2015,1700
5397,26/01/2015,700
5635,25/08/2014,1850
2482,05/05/2015,800
9869,27/03/2015,1950
3448,05/10/2015,1050
719,01/08/2014,1150
1710,11/11/2014,100
2429,28/07/2015,1050
3293,23/03/2015,3700
2012,19/10/2015,1000
4670,03/11/2014,2400
8097,12/10/2015,900
9508,13/11/2014,800
7262,26/11/2014,1450
2251,13/02/2015,450
6864,27/10/2015,1100
6161,23/10/2015,1450
2805,21/07/2014,3000
1149,29/04/2015,1350
3991,25/03/2015,450
6731,30/03/2015,2750
2619,22/01/2015,500
3146,17/12/2014,650
5576,16/12/2014,600
5663,30/12/2014,1200
780,22/04/2015,7150
3801,18/05/2015,600
4347,08/12/2014,1400
593,17/09/2014,700
178,21/05/2015,1250
5794,01/10/2015,850
4770,30/12/2014,4150
7952,03/09/2015,700
2997,25/09/2015,650
2833,17/06/2015,750
9331,20/04/2015,1550
8832,15/04/2015,1100
14,28/08/2015,500
7089,22/10/2015,1050
3109,04/08/2015,950
9642,06/08/2014,500
2580,22/09/2015,1400
7415,07/09/2015,1050
1131,24/12/2014,1650
7649,07/09/2015,400
2968,04/12/2014,1050
2604,13/04/2015,2550
7809,01/09/2015,700
5290,20/07/2015,950
2309,14/07/2014,1250
80,22/12/2014,1500
3751,02/03/2015,550
4797,05/10/2015,1550
7524,06/10/2014,950
3161,14/09/2015,750
643,03/11/2014,750
8365,07/07/2014,800
1504,29/06/2015,800
2010,28/07/2015,600
8786,15/06/2015,750
2567,05/08/2014,200
6828,25/09/2014,1650
9773,28/11/2014,950
68,16/07/2014,750
5660,19/08/2015,1200
3886,28/08/2014,1850
716,18/06/2015,1150
4071,28/10/2014,1150
1709,28/04/2015,2250
6380,18/09/2014,4000
805,24/07/2015,950
3745,30/12/2014,1550
4561,28/08/2014,2050
5647,28/07/2014,550
2472,11/08/2015,950
3319,14/08/2015,1000
6762,05/05/2015,1000
5953,26/02/2015,1750
5397,26/08/2015,700
5635,28/10/2014,1800
2482,02/07/2015,750
2161,01/07/2015,750
3448,05/01/2015,1050
719,03/11/2014,1150
1710,13/07/2015,300
2429,29/09/2014,1050
3293,02/11/2015,250
2012,17/07/2015,1050
4670,07/04/2015,2350
8097,11/11/2014,900
9508,13/10/2014,800
7262,26/03/2015,1400
2251,13/07/2015,50
6864,29/09/2014,1200
6161,23/07/2014,1100
2805,29/09/2014,4500
1149,29/09/2014,1350
3991,31/12/2014,550
6731,28/07/2015,1400
2619,22/06/2015,500
3146,17/02/2015,650
5576,16/07/2015,600
5663,27/08/2014,1200
780,23/03/2015,7150
6597,24/11/2014,1250
4347,07/07/2014,1450
593,17/11/2014,700
178,22/09/2014,1250
5794,02/02/2015,800
4770,30/03/2015,5300
7952,05/01/2015,700
2997,26/01/2015,650
2328,16/03/2015,1150
9331,19/01/2015,1550
8832,15/06/2015,1100
14,28/11/2014,500
7089,22/12/2014,1100
3109,19/12/2014,2900
9642,06/10/2014,500
2580,22/01/2015,1450
7415,09/03/2015,1050
1131,24/03/2015,1650
1583,28/08/2014,800
2968,04/03/2015,1050
2604,12/03/2015,2550
7809,01/07/2015,700
5290,18/12/2014,950
2309,15/09/2014,1250
80,20/07/2015,1500
3751,01/04/2015,550
4797,04/08/2015,1550
7524,05/08/2014,1000
3161,13/11/2014,750
643,02/06/2015,750
8365,05/11/2014,800
1504,28/10/2014,800
2010,30/12/2014,600
8786,14/04/2015,750
2567,05/10/2015,200
6828,25/08/2015,1650
9773,29/06/2015,950
68,17/08/2015,700
5660,19/12/2014,1200
3886,28/05/2015,1800
716,18/09/2015,1150
8344,28/07/2014,1050
1709,28/05/2015,2250
6380,18/05/2015,4200
805,24/04/2015,950
3745,29/10/2014,850
4561,28/10/2014,2100
5647,28/08/2014,550
2472,11/06/2015,950
3319,15/06/2015,1000
6762,02/11/2015,1000
5953,27/04/2015,1750
5397,27/04/2015,700
5635,25/05/2015,1800
2482,02/12/2014,800
2161,03/11/2014,750
3448,03/03/2015,1050
719,04/08/2015,1100
1710,11/08/2014,100
2429,28/08/2014,1100
3293,21/05/2015,3700
2012,17/04/2015,1050
4670,03/09/2014,2400
8097,13/07/2015,900
9508,15/06/2015,800
7262,26/06/2015,1400
2251,13/08/2015,450
6864,28/10/2014,1200
6161,23/10/2014,1100
2805,20/07/2015,3100
1149,30/06/2014,1350
3991,29/10/2014,550
6731,28/08/2014,1400
2619,22/09/2015,500
3146,18/05/2015,500
5576,16/10/2014,600
5663,27/07/2015,1200
3853,14/08/2014,1000
6597,22/07/2014,1250
4347,07/07/2015,1350
593,19/01/2015,700
178,21/11/2014,1250
5794,01/10/2014,800
4770,30/06/2014,2450
7952,03/02/2015,700
2997,25/08/2015,650
2328,15/12/2014,1150
9331,19/10/2015,1500
8832,17/08/2015,1100
14,30/03/2015,1000
7089,22/07/2014,1150
3109,19/11/2014,2900
9642,06/05/2015,500
2580,24/08/2015,1400
7415,07/07/2014,1050
1131,24/08/2015,1650
1583,30/03/2015,750
2968,04/02/2015,1050
2604,12/05/2015,2550
7809,01/10/2014,700
5290,18/11/2014,950
2309,15/06/2015,1250
80,20/10/2015,1500
3751,01/07/2014,600
4797,05/01/2015,1600
7524,04/12/2014,950
3161,13/03/2015,750
643,02/09/2015,750
8365,05/03/2015,800
1504,28/07/2014,800
2010,28/10/2015,600
8786,16/03/2015,750
2567,03/12/2014,200
6828,25/09/2015,1650
9773,28/04/2015,950
68,16/12/2014,700
5660,19/09/2014,1200
3886,29/09/2014,1850
716,19/01/2015,1150
8344,27/04/2015,1050
1709,28/10/2014,2250
6380,20/04/2015,3900
805,26/01/2015,950
1272,07/05/2015,650
4561,28/11/2014,2100
5647,30/12/2014,550
2472,11/02/2015,950
3319,15/12/2014,1000
6762,02/06/2015,1000
5953,28/07/2014,1800
5397,27/10/2015,700
5635,30/12/2014,1800
2482,03/11/2014,800
2161,02/06/2015,750
3448,03/10/2014,1100
719,01/09/2014,1150
1710,11/06/2015,300
2429,28/07/2014,1100
3293,23/02/2015,3700
2012,17/09/2014,1050
4670,03/09/2015,2300
8097,11/07/2014,900
9508,13/05/2015,800
7262,27/07/2015,1400
2251,15/06/2015,450
6864,27/07/2015,1150
6161,23/04/2015,1100
2805,31/08/2015,4650
1149,29/10/2014,1350
3991,28/01/2015,450
6731,29/06/2015,1400
2619,22/08/2014,500
3146,18/08/2014,650
5576,16/01/2015,600
5663,28/07/2014,1200
3853,14/09/2015,1000
6597,22/10/2014,1250
4347,09/02/2015,1400
593,17/07/2014,700
178,21/04/2015,1250
5794,03/11/2014,800
4770,30/10/2015,2550
7952,03/11/2014,700
2997,25/03/2015,650
2328,14/05/2015,1150
9331,18/08/2014,1600
8832,16/02/2015,1100
14,29/09/2014,500
7089,24/08/2015,1050
3109,19/08/2014,2900
9642,06/01/2015,500
4905,24/07/2014,850
7415,08/12/2014,1050
1131,24/11/2014,1650
1583,28/08/2015,750
2968,04/11/2014,1050
2604,13/10/2014,2600
7809,01/08/2014,700
5290,18/06/2015,950
2309,14/09/2015,1250
80,21/09/2015,1500
3751,04/08/2015,550
4797,03/11/2014,1600
7157,11/11/2014,800
3161,15/09/2014,750
643,02/10/2014,750
8365,05/10/2015,600
1504,28/10/2015,800
2010,29/06/2015,600
8786,14/10/2014,700
3561,24/09/2015,350
6828,25/05/2015,1650
9773,28/01/2015,950
68,16/09/2014,750
5660,20/10/2014,1200
3886,28/11/2014,1850
716,18/03/2015,1150
8344,26/08/2014,1050
1709,28/11/2014,2250
6380,18/06/2015,4150
805,25/05/2015,950
1272,08/09/2014,650
4561,28/01/2015,2100
5647,28/01/2015,550
2472,11/05/2015,950
3319,14/04/2015,1000
6762,02/09/2014,1000
5953,30/12/2014,1750
5397,28/09/2015,700
5635,27/07/2015,1800
2482,02/10/2015,750
2161,01/08/2014,750
3448,03/09/2014,1100
719,01/12/2014,1150
1710,11/09/2015,300
2429,30/06/2014,1100
6382,23/01/2015,1600
2012,18/03/2015,1050
4670,03/02/2015,2350
8097,11/09/2015,900
9508,13/10/2015,800
7262,26/05/2015,1400
2251,13/03/2015,450
6864,27/02/2015,1200
6161,23/12/2014,1100
2805,30/03/2015,4400
1149,29/08/2014,1350
3991,24/09/2014,450
6731,28/07/2014,1400
2619,22/04/2015,500
3146,17/10/2014,650
5576,16/03/2015,600
5663,29/06/2015,1200
3853,14/10/2015,950
6597,22/05/2015,1200
4347,08/09/2014,1450
593,17/08/2015,650
178,22/12/2014,1250
5794,01/04/2015,800
4770,30/01/2015,2900
7952,04/08/2015,700
2997,27/10/2015,650
2328,14/09/2015,1100
9331,18/09/2014,1600
8832,15/07/2015,1100
14,30/06/2014,500
7089,22/09/2015,1050
3109,19/02/2015,2900
9642,06/07/2015,500
4905,24/07/2015,850
7415,08/09/2014,1050
1131,24/09/2014,1650
1583,28/05/2015,400
2968,04/08/2015,1050
2604,12/08/2015,2500
7809,03/11/2014,700
5290,18/02/2015,950
2309,16/03/2015,1250
80,20/08/2014,1500
3751,02/01/2015,550
4797,03/09/2015,1550
7157,11/06/2015,750
3161,14/07/2014,750
643,02/09/2014,750
8365,05/09/2014,800
1504,28/08/2014,800
2010,28/01/2015,600
8786,15/09/2014,700
3561,24/09/2014,400
6828,25/03/2015,1650
9773,30/03/2015,1850
68,16/10/2014,700
5660,19/08/2014,1200
3886,28/07/2015,1750
716,19/10/2015,1100
8344,26/03/2015,1050
1709,28/09/2015,2250
6380,18/09/2015,4150
805,24/06/2015,950
1272,09/02/2015,650
4561,28/07/2015,2100
5647,28/04/2015,550
2472,12/01/2015,950
3319,14/08/2014,1000
6762,02/04/2015,1000
5953,26/08/2014,1800
5397,28/07/2014,700
5635,25/06/2015,1800
2482,04/08/2015,750
2161,01/07/2014,750
3448,05/05/2015,1050
719,01/04/2015,1100
1710,12/10/2015,300
2429,28/04/2015,1050
6382,23/06/2015,400
2012,19/01/2015,1050
4670,04/08/2015,2300
8097,13/10/2014,900
9508,13/07/2015,800
7262,26/01/2015,1400
2251,15/09/2014,400
6864,27/03/2015,1200
8561,23/09/2015,1000
2805,25/05/2015,2950
1149,29/07/2014,1350
3991,26/11/2014,450
508,29/06/2015,700
2619,24/11/2014,500
3146,18/06/2015,500
5576,18/08/2014,600
5663,27/04/2015,1200
3853,14/04/2015,1000
6597,22/04/2015,1200
4347,08/06/2015,1400
593,17/07/2015,650
4628,23/02/2015,650
5794,05/05/2015,800
4770,29/05/2015,1950
7952,03/07/2014,700
2997,25/08/2014,700
2328,14/04/2015,1150
9331,18/11/2014,1600
8832,15/09/2014,1150
14,28/05/2015,500
7089,22/08/2014,1150
3109,20/10/2014,2900
9642,07/09/2015,500
4905,24/09/2015,850
7415,07/11/2014,1050
1131,24/10/2014,1650
1583,28/11/2014,400
2968,04/07/2014,1050
2604,14/09/2015,2500
7809,01/04/2015,700
5290,18/08/2015,950
2309,14/10/2015,1250
80,22/06/2015,1500
3751,03/11/2014,600
4797,03/10/2014,1600
7157,11/07/2014,800
3161,15/12/2014,750
643,04/08/2015,750
8365,07/09/2015,1000
1504,28/08/2015,800
2010,28/10/2014,650
8786,14/05/2015,750
3561,25/08/2014,400
6828,25/11/2014,1650
9773,28/08/2015,950
68,18/08/2014,750
5660,19/05/2015,1200
3886,28/09/2015,1750
716,18/11/2014,1200
8344,27/10/2015,1050
1709,29/06/2015,2250
6380,18/08/2015,4150
805,24/08/2015,950
1272,07/09/2015,650
4561,29/06/2015,2100
5647,29/06/2015,550
2472,11/08/2014,950
3319,14/11/2014,1000
6762,05/08/2014,1000
5953,26/03/2015,1750
5397,26/02/2015,700
5635,27/04/2015,1800
2482,02/09/2014,800
2161,01/09/2015,750
3448,04/08/2015,1050
719,01/10/2015,1100
1710,11/02/2015,100
2429,30/03/2015,2100
6382,23/09/2015,400
2012,17/02/2015,1050
4670,03/07/2015,2300
8097,12/01/2015,900
9508,14/09/2015,800
7262,30/12/2014,1400
2251,13/08/2014,400
8841,08/05/2015,1150
8561,23/09/2014,1050
2805,27/04/2015,2950
1149,29/06/2015,1300
3991,28/10/2015,450
508,28/09/2015,600
2619,22/07/2015,500
3146,19/10/2015,500
9350,26/09/2014,550
5663,27/05/2015,1200
3853,15/12/2014,1000
6597,24/08/2015,1200
4347,09/03/2015,1400
593,17/04/2015,700
4628,21/07/2014,650
5794,01/08/2014,900
4770,30/07/2014,2900
7952,03/07/2015,700
2997,27/07/2015,650
2328,14/11/2014,1150
9331,18/03/2015,1550
8832,15/10/2015,1100
14,28/04/2015,500
7089,22/10/2014,1150
3109,02/11/2015,950
9642,08/12/2014,500
4905,24/11/2014,850
7415,07/05/2015,1050
1131,24/07/2014,1650
1583,29/06/2015,750
2968,04/06/2015,1050
2604,12/10/2015,2400
7809,04/08/2015,700
5290,18/07/2014,950
2309,14/07/2015,1250
7435,24/11/2014,950
3751,02/02/2015,550
4797,03/03/2015,1600
7157,13/07/2015,750
3161,13/01/2015,750
643,02/02/2015,750
8365,05/06/2015,1300
1504,28/09/2015,800
2010,28/08/2014,650
4542,28/07/2014,2650
3561,24/03/2015,400
6828,27/10/2015,1600
9773,28/10/2015,950
68,16/06/2015,700
5660,19/02/2015,1200
3886,28/04/2015,1800
716,18/02/2015,1150
8344,28/10/2014,1050
1709,30/06/2014,2250
6380,18/12/2014,4200
805,24/09/2015,950
1272,07/08/2015,650
4561,28/08/2015,2100
5647,28/05/2015,550
2472,02/11/2015,200
3319,14/10/2015,1000
6762,02/12/2014,1000
5953,28/10/2014,1800
5397,27/07/2015,700
5635,25/08/2015,1800
2482,02/07/2014,800
2161,01/10/2014,750
3448,03/09/2015,1050
719,05/05/2015,1100
1710,11/12/2014,100
2429,28/01/2015,1050
6382,24/08/2015,400
2012,17/08/2015,1050
4670,03/12/2014,2400
8097,13/04/2015,900
9508,14/07/2014,800
7262,28/07/2014,1450
3514,02/10/2015,700
8841,08/01/2015,1150
8561,23/02/2015,1000
2805,27/10/2015,3050
1149,31/08/2015,1300
3991,30/09/2015,550
508,31/08/2015,700
2619,24/08/2015,500
3146,18/08/2015,500
9350,18/07/2014,550
5663,29/09/2014,1200
3853,14/11/2014,1000
6597,22/01/2015,1200
4347,07/08/2014,1450
593,17/06/2015,650
4628,21/11/2014,650
5794,04/08/2015,850
4770,29/08/2014,1950
7952,03/12/2014,700
2997,25/07/2014,700
2328,16/02/2015,1150
9331,20/07/2015,1550
8832,15/12/2014,1150
14,28/09/2015,500
7089,22/06/2015,1050
3109,01/10/2015,950
9642,06/08/2015,500
4905,24/06/2015,850
7415,07/04/2015,1050
3138,02/07/2015,1500
1583,29/09/2014,400
2968,05/08/2014,1050
2604,12/01/2015,2550
7809,02/02/2015,700
5290,20/10/2014,950
2309,16/02/2015,1250
7435,23/02/2015,950
3751,01/09/2014,600
8836,02/06/2015,650
7157,11/12/2014,800
3161,13/08/2015,750
643,05/08/2014,800
8365,07/04/2015,800
1504,28/05/2015,800
2010,30/03/2015,1200
4542,29/09/2014,2650
3561,24/08/2015,350
6828,27/04/2015,1650
9773,28/07/2014,950
68,16/07/2015,700
5660,19/10/2015,1200
3886,28/01/2015,1800
716,18/05/2015,1150
8344,26/05/2015,1050
1709,28/01/2015,2250
6380,19/10/2015,4150
805,24/10/2014,950
1272,08/12/2014,650
4561,28/07/2014,2050
5647,28/11/2014,550
2472,13/10/2014,950
3319,14/05/2015,1000
1448,05/05/2015,350
5953,27/07/2015,1700
5397,26/03/2015,700
5635,25/07/2014,1850
2482,02/02/2015,800
2161,02/01/2015,750
3448,03/07/2014,1100
719,02/03/2015,1100
6848,08/09/2014,900
2429,28/11/2014,1050
6382,23/02/2015,1600
2012,17/07/2014,1050
3234,24/06/2015,500
8097,11/08/2015,900
8049,08/09/2014,800
7262,27/10/2015,1350
3514,02/06/2015,700
