CUST_NO,BALANCE
3278,500
6377,5500
44,7000
4210,6000
8514,3500
7223,8500
8215,1500
8467,3000
4400,500
6981,500
2044,19500
9882,7000
1818,40000
6978,6000
6367,1000
9926,9500
9013,8000
7436,157500
888,17500
6840,11500
3185,5000
8740,4000
9705,3000
2426,4500
1636,500
1077,1500
9222,4500
2100,6000
9482,4000
5565,1500
2463,2000
2955,2000
5637,2500
9036,3000
972,3000
2661,5500
9868,1500
2909,10500
3534,1000
878,500
403,1500
4975,3500
9166,1000
7666,500
6813,9500
2189,22500
9488,500
1954,500
5852,2000
8890,21500
7954,7500
4601,4500
1896,4000
7800,1000
954,10500
7744,7500
5878,500
5792,7000
6276,500
6507,8500
6262,1500
7025,500
2182,5500
8158,1000
5945,8000
3050,4000
5468,500
1812,70500
9709,1500
6186,5500
4871,5500
7358,10000
7512,1000
4457,1500
8583,132500
26,2500
9968,1500
8016,2500
1704,1000
8170,1000
4554,500
5224,2000
1612,500
7505,6000
1464,500
8669,500
7418,2000
6567,14000
48,1500
9544,1000
5080,5500
4852,500
3225,13500
7111,2000
7492,3000
4243,2000
945,3000
7756,2000
4741,4000
8446,1500
9915,5000
8238,4500
3912,2500
3192,1500
8928,8500
6908,10000
884,1000
8542,8500
1316,3500
5178,1000
5735,2000
1730,1000
4116,9000
8492,500
6045,3000
9266,1000
5621,2000
1986,4000
8881,47500
9060,500
7360,9500
4984,5500
5215,1000
7703,2000
1373,13500
9077,1000
5793,6500
9316,3000
6278,64500
8639,18000
4373,4000
7785,1500
572,1000
9518,1000
7839,4000
4384,7000
4468,1500
9251,1000
5216,500
2723,500
1221,6000
2615,1000
8676,10000
8576,17000
2823,31000
8424,4000
3662,4000
862,9000
9723,9500
1778,10000
3833,16000
5321,500
7287,500
3390,19000
2691,1000
5068,3000
1185,22500
9407,9500
6301,2000
1076,5000
5590,2500
9745,1000
5486,1500
4650,500
1660,10000
1671,7000
5684,14500
4985,6000
5129,31000
7927,500
9680,7500
2630,500
5383,27500
7471,6500
4169,3000
4204,4500
7602,8000
4432,500
4573,1000
5437,2500
5769,4500
9568,3500
3452,11500
9459,2000
4039,3000
2534,10500
6552,2500
4260,5000
694,3000
8001,1000
740,3500
666,1500
4474,3000
5097,3500
4284,11500
5909,3500
939,6500
3876,1500
362,9500
7064,7000
6019,500
89,9000
7052,8500
6461,500
7867,3000
3740,1000
2813,1000
6912,1000
4657,2500
5777,64500
7567,9500
8606,8000
2344,37000
6093,12000
9613,2000
1233,1000
7782,5000
8584,2000
5757,5000
8814,6500
6023,7000
3275,11000
6769,1500
2437,4000
6089,42500
1916,1000
5028,1500
5526,10000
9555,1000
9384,1500
6670,55500
7932,1000
4989,1000
9224,2500
7079,1000
1507,500
8857,9500
9050,1500
3312,6500
1680,1500
1911,9000
6060,4500
585,11000
831,11500
2347,1000
6569,500
9626,1500
9031,1000
8021,1500
1832,1500
3859,2000
2099,500
3451,2000
4683,9000
8326,5500
1787,3000
943,3000
1469,10500
6810,500
6163,2500
3169,9500
2983,1000
801,65000
3616,500
6243,3000
4356,7500
5884,46500
3513,2000
6587,1000
916,500
8501,3500
6906,500
315,1000
679,2000
5571,500
8663,3000
7763,4000
5800,2500
6540,2000
6859,3000
4806,32000
2265,3000
1593,3000
8724,1000
1903,5500
6536,1000
2454,181500
2692,1000
8041,8000
9567,1500
9449,3500
7928,4000
5890,1500
7972,3000
7268,15000
4482,500
6297,1000
6462,3500
4248,3000
1716,2000
1028,9500
870,2500
4927,2500
1050,8000
6475,2500
6454,10000
8209,9000
250,3000
8465,7500
581,2000
9216,7000
4782,3500
575,8000
6078,3000
455,7000
3687,5000
2893,6500
3522,500
568,6000
8277,500
5849,23500
6638,1000
485,7500
4877,500
9874,9000
9099,4000
4538,14000
5374,500
262,7000
7244,9500
5326,1000
9921,2000
7917,15000
5022,8000
1002,1000
9338,1500
547,500
9710,5500
7324,3000
2306,20000
9241,1500
4874,10000
6467,1500
124,8500
2722,3000
8445,24500
344,1000
2385,7500
393,500
1241,2500
7138,10000
8179,1500
9201,2000
9265,7000
1084,5000
2197,7500
8523,4500
8108,4500
9429,4000
2327,7000
7538,1500
6223,83500
979,3000
3929,1000
6641,500
5282,12500
1759,29500
5196,1000
8280,56500
2096,9000
9494,1500
1417,4500
6656,2000
541,21500
4749,2500
1206,500
3972,32000
6106,500
3915,6500
9683,32500
8062,1000
9815,1000
976,1500
7158,10000
6749,6500
6718,1500
9616,12000
5446,9500
8970,15000
453,10500
7875,18500
9828,500
363,1500
7290,4500
91,500
254,8000
9027,5000
4273,4000
1089,3500
3274,1500
3667,1500
8976,500
7054,13000
8003,5000
1236,4000
7639,6000
2494,500
7661,1500
8321,8500
4190,41500
5929,42000
1276,6500
4499,2000
3107,10000
1698,4000
6535,6000
4211,500
214,5500
6712,500
5916,500
5677,1500
9075,1000
251,4500
5281,1500
8755,2000
9275,1500
3836,3500
2879,4000
282,1500
122,7500
1932,2000
296,500
2961,500
9478,500
2739,8000
8713,7500
7309,7500
3711,1500
523,1500
9949,500
7319,1500
7310,4000
4511,2500
4168,1500
470,1000
1571,18500
4509,90000
2140,500
5117,500
5797,24500
6713,6000
84,2500
1258,1500
4627,31000
8221,8000
6779,2500
9919,500
3236,22000
7392,1000
2804,8500
793,3000
3701,10000
3398,500
6909,500
9271,35000
390,15000
6514,1500
5589,1500
5340,5500
5728,5000
1253,500
6333,3000
2759,1000
3708,1000
2884,9500
1242,4500
4925,4500
8690,1000
2493,1000
5990,6000
8875,12500
4001,2000
6328,17500
6064,18500
271,4000
9287,3500
7399,1000
3444,500
8563,4000
2272,1000
4566,5500
2848,1000
8837,10500
4934,122000
8035,6500
8204,2000
7466,3500
6053,1500
7689,6500
2863,1500
8423,500
6721,33500
6530,17000
8405,6000
5733,3000
9261,1500
2665,2500
5427,9000
9463,4000
4943,8000
4931,2500
8807,15500
8624,10500
689,1000
6701,6000
4050,500
6413,7000
9205,2000
96,7500
6008,500
9080,1500
1557,3500
3438,4500
9003,2500
1862,94000
8645,11500
5656,22500
690,1000
6173,212000
4518,2000
2910,500
9310,1000
7218,2500
9142,17000
755,9500
256,12000
1511,1500
4651,9000
6126,7500
6643,10000
2852,500
2542,2000
8629,4000
8245,1000
7835,4500
1883,1500
6851,500
9454,1000
1457,3500
2293,29000
8780,5000
7102,1000
3105,500
3579,2500
3071,2000
2302,2500
8102,1000
7620,7000
8485,1000
8082,3500
2917,3000
1391,500
1039,34000
9573,27500
7240,2000
4134,5500
9673,4000
9415,1500
35,1000
2706,3500
5855,11500
7377,4000
6308,10500
5116,500
8650,4500
2614,6000
7077,5000
1162,7500
207,11000
8345,500
6379,7500
9270,500
5864,500
688,500
7675,5500
5348,1000
4007,6000
1643,5000
1629,3500
7508,4000
3227,4000
8147,37000
7338,9500
4991,62000
7486,500
8401,2000
1563,500
5480,1000
9593,500
6338,2000
1837,4000
9604,16500
898,500
7906,9500
7331,2500
8267,500
355,2500
2889,3500
3022,2500
9048,4500
373,5000
8106,14000
7735,2000
7473,1000
556,9500
7889,7000
6073,10500
5150,10000
5779,10000
7073,7000
9845,500
2052,1000
8802,4000
9913,1500
399,3500
8824,34500
4739,1500
3678,500
4915,11000
6490,35500
6348,3000
1797,6500
7174,7000
2998,27000
2712,500
7787,28000
8973,4000
7248,7000
9446,5000
5199,6500
4667,4500
6619,1000
2223,1000
539,16000
5727,3000
8184,7000
1196,500
1411,500
531,5500
3857,1000
2749,55000
1429,3000
3869,3000
587,2000
409,8500
3282,3000
1447,5000
9254,500
3121,1000
8386,2500
9648,5500
9660,6000
4029,2000
2018,31500
1991,9000
7016,1000
5152,44500
2728,500
8351,3500
6119,3000
5234,3000
90,1500
2786,500
3610,8500
3260,3000
9527,500
2053,1000
5081,1000
7921,1500
1102,1500
6311,500
7729,1000
430,7500
3725,1500
2238,21000
786,12000
9344,1000
2733,52000
3259,2000
3027,500
6832,1000
8982,500
848,8000
4285,6000
2136,2500
5694,10000
3423,500
7229,1000
2410,112500
994,5000
9638,4500
7352,23000
8808,7000
7178,1500
5252,11500
6289,2000
2769,3500
5836,52500
7550,1000
2779,3500
1912,12000
3125,6000
442,500
1303,2000
1374,1500
3190,4500
9434,14500
2381,2000
7400,6000
632,6000
1565,500
2678,2500
5266,6000
6046,1000
4733,11000
9996,4000
3104,10000
9622,7500
7506,9500
4319,40500
3777,500
9428,2000
4824,1500
4537,500
4707,1500
9329,2500
8686,1500
9203,500
6107,6500
2824,5500
603,3500
6048,8000
4636,1000
6,1000
4480,7000
1694,15500
2269,1500
5174,1500
7022,500
6602,8500
1370,2500
9538,500
9424,3000
8899,500
7571,500
7275,6500
7208,1000
3170,4500
2177,7500
1499,4500
2526,4000
5508,1500
4105,8500
920,500
3576,7000
561,500
8276,8000
4496,1500
1198,15500
8506,34000
6524,24500
7679,500
6355,6000
3544,10000
8797,500
3095,12500
1078,3000
4594,1500
5056,46500
9210,2000
4876,22500
3813,2000
8596,1500
7446,3000
6123,2000
1794,4000
2990,1000
661,4000
5010,1000
1323,500
8112,3500
159,500
5818,1000
3571,500
3064,15500
4808,2000
938,319500
6677,7500
5016,500
8962,3500
4216,4500
9589,1500
9628,4000
2659,11000
1428,10000
7241,2000
6515,2000
6445,1500
9273,3000
8233,500
6218,3000
6724,1500
4772,1500
5582,1000
8141,1500
1570,2500
2943,4000
6739,30500
308,23500
5544,1000
9693,3500
665,174000
3533,13500
1459,17000
4043,4500
2999,6000
2876,57500
1884,1000
3989,7000
4702,17000
7213,3500
6268,17000
6969,3000
6207,4000
2175,3000
3392,4500
2900,4500
5242,500
2941,1000
1621,6000
6852,7500
1922,5500
1865,9000
8843,10000
4061,3500
7184,10000
8480,1000
3981,10000
5639,500
5543,1500
4452,2500
4675,10000
6678,6000
3037,1500
2699,500
5293,15000
9750,2000
4582,129500
7696,4000
8336,2000
9303,22000
9916,4000
1585,500
6214,1500
7035,8500
6885,6000
9665,2000
1312,1000
1740,93000
5441,4000
1831,2500
5031,9000
728,2500
5636,13000
6767,11500
2196,500
3668,21500
3563,26500
6150,9000
1104,43500
3543,3000
4745,23500
6054,1000
9559,59500
3381,55500
6785,1000
5584,500
6935,1500
7713,5500
8057,500
8789,1000
5473,500
7911,2000
1182,6500
9026,8000
5021,2500
8668,500
3441,15000
359,14000
2868,6500
3166,500
6559,500
5998,500
4932,3000
5276,8500
7572,500
5148,5000
8067,7000
5049,31500
2745,1500
4908,2000
5124,6500
7194,7000
7049,5500
9917,10500
3439,500
381,17000
1497,4500
6234,1000
2357,500
2850,5500
1262,500
9067,500
7740,500
7510,2500
4580,6500
7553,1500
839,500
4316,7000
1063,10000
3393,4500
6723,1000
4881,8000
5384,1000
4349,4000
1187,2000
7631,1000
889,6000
8647,2000
4361,12500
4708,8000
202,1000
9927,32000
3466,11000
3887,3500
5284,1500
4642,2500
9643,4000
4899,3500
6280,6500
3498,5500
4441,1000
1598,1500
7348,1500
9769,500
8312,3500
2816,4500
8015,500
6684,2000
2703,2500
6332,1500
2785,3500
5204,2000
6191,3000
2490,3500
4506,500
4903,4000
5799,1500
6402,2000
1071,8500
6939,1000
5030,10000
8823,3000
8437,1500
7887,500
9208,3000
6111,3000
5802,3000
5363,1000
6267,18500
8889,500
4896,500
8014,15500
9354,8000
2655,1000
5051,2500
6095,1500
3962,2000
9879,500
6474,4500
4111,14000
9989,74000
9548,500
3141,6000
6131,3000
8760,500
8678,66000
7366,14000
7731,3500
2428,5500
7200,2000
953,3000
1705,3000
7076,6000
3523,500
8186,1000
6110,43500
4696,10000
357,1000
6926,2000
7346,9500
7595,3000
2738,2000
7110,6500
3465,1000
3184,13500
8451,8000
6624,4500
5525,1500
3550,2500
7733,500
7758,500
1227,2000
9150,3500
472,2000
7894,500
3559,43500
467,500
6794,2500
7154,1500
9655,1000
6776,500
1574,9500
9857,2500
1342,1000
9173,3000
9765,2500
3222,500
6446,32000
7482,500
4166,1000
7741,3000
5725,3000
6542,5000
7130,6500
6598,7500
5751,1000
1347,2500
840,2500
8987,4000
6189,22500
8727,500
1402,500
2887,5000
7318,1500
4842,1000
1746,7000
4407,1000
7315,1000
5644,3000
6894,6000
3491,10500
5298,20000
8194,500
46,3000
5024,56500
5760,11500
3168,3000
8939,7000
1471,1500
9223,2500
8849,23500
3265,6500
2205,500
6532,77000
9044,1000
3368,131000
9526,2000
8655,2000
654,7500
2506,21000
7119,2500
4672,58000
1906,1000
903,8000
2619,10000
6963,12000
4910,29500
6485,2000
7692,1000
9464,500
9198,12500
3646,7000
8697,500
6931,5500
287,6500
6284,2500
4454,10500
8862,3000
701,2500
9607,1500
49,14500
9236,500
2811,1000
2240,13500
960,6500
3881,10000
1308,1500
3644,4000
3733,1000
9652,500
664,500
2448,500
9170,1000
815,5000
6040,500
5737,42500
9259,2000
8903,5000
944,2000
5611,6500
940,1500
4933,500
2000,5000
1975,7000
4705,500
149,1500
2931,6500
9007,10500
5874,1000
7266,4500
1314,1000
6695,2500
4685,1500
2005,10500
1946,8000
172,12000
3835,5000
5976,2000
877,1000
3048,2500
2046,2500
5447,3000
5440,2500
1895,8500
3471,17500
5983,3500
8589,2000
6428,4000
2334,1500
8895,500
3957,8000
7699,1000
4990,7500
7034,500
3478,500
4491,500
3057,2500
4270,9500
8627,500
5817,500
5671,1000
9069,1000
2484,10000
4541,1000
9992,24000
3,9500
730,11500
6699,1500
9686,4000
6827,17000
2033,47500
9093,2500
1893,4500
9483,4000
490,6000
9650,25000
4615,6000
7448,31000
6586,500
7349,10000
3369,7000
982,3000
8392,500
6622,500
2261,5000
9799,500
8315,4000
8520,1500
1736,500
226,2500
1886,2000
6765,7500
9281,2500
6637,6000
6129,500
2300,4500
2186,500
2971,3000
6558,3000
2883,1500
5528,127500
1701,6500
4861,1000
2346,500
7026,2000
1389,1000
6011,14500
8893,2000
6513,2000
3782,41000
2775,5500
8739,1500
5879,4000
7978,4500
735,3000
9305,7500
6818,1500
9816,6000
8216,1000
4085,1500
3449,500
2031,9000
7876,147500
323,1000
438,2000
3690,4000
1353,5500
9017,10000
668,2000
697,1000
5316,74500
5688,2000
6021,7000
3702,1000
2315,13000
6986,1000
1516,500
3724,3500
8330,10500
7808,1000
3245,10000
2421,3500
4563,2000
7711,29000
9974,15000
1879,28000
2399,2500
7624,19500
387,4500
5726,5000
495,7500
947,19500
8012,1000
7563,3500
7820,4500
3717,3500
1735,5500
2952,3500
3788,1500
3950,8500
971,12000
6118,12000
5038,1500
8700,2500
3158,11500
4544,39500
5608,8500
4108,15000
7522,500
3878,500
1328,1000
9393,16000
2671,5500
2282,3500
406,4500
7761,9500
4417,23500
5949,2500
4962,1500
1852,3500
7430,1500
9228,3000
7214,1500
3997,4500
2965,1500
1302,500
5889,10500
8581,17500
4231,2500
1086,2000
808,8500
7905,7500
9984,10000
794,1000
7308,1000
396,2500
8924,4000
6013,9000
2901,6000
7849,6500
1718,4000
4207,1500
1992,16000
5631,2000
534,6500
4728,112500
3176,2000
1719,2000
17,1000
9698,3000
3329,38000
8333,2500
9747,1000
3135,5500
9505,2000
8801,2000
1475,89500
431,7500
9298,10000
291,2000
7730,500
949,4000
9018,4500
981,3000
3809,2000
9554,500
4693,1500
1885,1000
4949,1000
4743,9000
8945,17000
9213,1000
9565,500
6012,2500
650,6500
4859,10500
1589,8000
3256,25000
7669,3000
4846,8000
2907,3500
1097,1500
4699,4000
2320,500
4937,186500
807,3500
6018,1500
6798,1500
6803,2500
6801,6000
4469,18500
1788,2000
1890,10000
489,500
7811,16500
8965,8000
3975,8500
4155,500
9943,500
5301,500
3699,4500
753,13500
7983,4500
9821,500
8080,500
9696,13500
6703,7000
2783,3000
2446,2000
7497,2000
2464,3000
2316,5500
2201,4500
3078,6500
9337,1000
1472,5000
3407,88000
9825,500
6441,81000
8672,12500
7028,36000
6802,500
6816,6500
3873,5000
2345,2500
5151,9000
7643,1000
8636,5000
4314,2000
5533,3000
9889,9500
800,3000
8324,1000
3892,1000
5615,29500
6097,500
8182,10000
2074,500
2984,1000
325,63500
2982,10000
4716,500
8033,77000
3828,2500
7171,2000
5110,2000
7718,22000
3821,3500
3655,7000
3958,10500
7019,1000
3425,8500
7071,1000
6554,2500
6184,5500
3539,1500
370,8500
1007,4500
9734,5500
6682,4000
9784,1000
1951,500
1037,9500
810,500
7625,219500
3202,1000
6265,1000
6321,21500
272,6000
9134,2000
6976,1500
3489,2500
3251,1500
773,5000
1844,10000
8355,1000
4731,7000
7575,1500
6757,4000
8929,1500
3217,9000
6381,14000
1486,2000
7672,6500
4556,3500
1057,12500
5139,8500
4608,5000
880,8000
5269,4000
7144,500
4719,9000
5169,8500
3074,13500
4100,500
9033,11000
7950,8000
7651,500
9946,32000
6809,500
3191,8000
8917,12000
9687,1500
2750,2000
8418,1000
339,21000
3421,1500
7501,1000
108,46000
6001,6000
3939,37000
9960,1000
2964,6000
3761,5000
6593,10000
1035,4500
4094,3500
8495,1500
2132,3000
1286,3500
2183,3000
7314,2500
8415,5000
9583,9000
3340,3500
6995,39500
2138,2000
8920,500
6006,1000
4489,500
3102,2500
1814,4000
9752,1500
7652,500
832,1000
3978,1000
7723,8000
942,2000
1520,24500
4581,2000
8144,4000
2164,33000
8375,3500
4536,1000
4553,500
559,2000
3960,12000
1042,5000
6900,1500
1827,1500
8210,500
7163,5500
7816,8500
1917,7000
138,500
5947,1500
4516,55000
3134,65500
7097,4500
7530,10000
7276,5500
8190,5000
4313,2500
549,3500
5399,3000
9300,2000
1687,2500
7890,5000
8306,3000
2847,6000
7182,4500
6800,9500
5305,10000
5987,8000
4363,2500
7407,1000
1284,5000
1748,1000
2442,5500
5315,3500
4399,11500
8073,4500
7545,1500
417,34500
1319,39000
1556,500
615,1000
5249,2000
2268,6500
7724,500
4324,12500
6378,6500
1858,10000
2432,35000
5452,1000
7253,3500
5402,1000
5699,1000
4767,4000
5100,18000
7078,1000
6868,2000
9540,3000
8821,500
276,7000
2539,8000
5176,1000
6891,500
9014,1000
4897,3500
7926,1500
7140,500
820,1500
3352,500
6826,3500
6799,500
326,500
8121,11500
3752,90500
9907,14500
306,500
9822,3500
579,229000
6924,31500
2989,500
8338,10000
2962,2500
7920,1500
554,500
8579,2500
1854,14000
4598,1000
2475,1000
327,1000
502,3000
1407,3000
3415,500
9235,41500
6728,5000
5045,9000
1823,70000
1048,1500
5271,500
7560,7500
4609,10500
7881,2000
1404,1000
2050,1500
1409,1000
8642,1000
6363,500
6665,11000
9934,5000
8181,500
7837,1500
6517,500
6084,1000
1525,9000
7108,7500
4145,2500
8607,2500
6125,10500
8299,500
8027,14000
4268,5500
29,42000
3391,25500
4082,9000
7664,500
2721,500
8705,10000
8692,7000
8448,500
2632,2000
5569,500
757,11000
2995,1000
3410,2000
1278,500
9215,1000
3805,4000
3726,500
1011,9000
4830,8000
2800,1000
503,4000
9149,1000
378,1000
3214,24500
7937,320500
481,500
5775,500
3485,7000
3200,2500
3647,6000
4341,1000
8513,500
2338,4000
607,10500
4557,6500
5156,18500
2297,5500
7783,2500
5453,500
4125,3000
7267,2500
200,24500
7754,4500
9853,9000
6520,15000
3504,32000
6596,500
2601,19500
1579,1500
8084,1000
4750,10000
2091,4500
5304,5000
9865,1000
9359,7500
2552,500
950,3500
4060,2000
2247,3000
6270,22000
4255,500
1849,5500
4179,1500
2094,21000
8946,5500
4895,5000
7065,8000
975,12500
2938,100500
2776,1500
2252,67500
7948,500
5126,1000
6616,500
2206,14000
5381,9000
702,10000
8019,2000
1901,5500
4174,5000
5561,1500
6734,5000
7402,2500
4351,10000
9163,8000
2170,46000
407,5000
5595,6000
9230,1000
4458,3000
6879,2000
9456,2000
2591,1500
1309,73000
5509,2500
1936,24000
4880,3000
8222,500
4625,1500
1683,500
8022,99000
7991,2500
5188,6000
3998,500
6373,6500
3654,500
4258,4000
8402,7500
4076,4000
6668,4500
300,4000
1700,8500
280,13000
9961,2000
9439,10000
8719,500
5277,68000
8769,2500
9829,1500
2548,4500
3971,3000
1466,500
5790,4500
854,14000
4606,1000
5449,179000
9908,4000
334,7500
814,2500
3177,6500
3637,1500
2697,1000
1494,76000
7116,1000
7648,6500
9414,2500
4789,2000
6992,1500
8997,500
9967,2000
8586,8500
5502,8000
2826,10000
6146,22500
1146,5500
2593,13000
1200,3000
8861,500
5076,261000
4551,1500
1749,500
872,5000
3531,8500
1339,2500
1110,60500
2095,9000
286,18000
3363,3000
9332,7500
9204,1000
6345,23000
9728,10000
4042,4000
3670,10500
1755,1000
2936,1000
5339,2000
2673,2000
5827,47000
9918,169000
7413,1500
7561,15500
9976,6500
347,38500
4819,500
5683,22000
4164,500
486,8500
1356,4500
9158,38500
7412,4500
9978,1500
156,21000
9525,10500
4834,5000
3660,18500
6830,500
2267,2500
7962,1500
2145,8500
8369,1000
4780,500
8736,2500
6167,2000
336,2500
8304,3500
7796,1000
2204,1500
5520,3000
7805,3500
3921,500
8300,500
1776,9500
2133,1500
2013,19000
8138,9000
402,12000
9162,500
7351,4500
4104,3000
1667,500
2134,52500
493,1500
7463,500
6789,5500
6928,500
5758,2500
3941,5500
7898,3500
7284,1500
5482,2000
7203,500
1318,9500
8717,500
3370,1500
6522,500
7549,60000
6952,19500
3542,5000
8749,10500
6836,4500
2919,9500
9801,1500
6252,3500
3822,1000
3587,1000
7236,2000
9871,8500
8417,2500
1449,10000
6108,1500
6644,500
3426,1000
1171,1500
1289,6500
7757,117500
5329,7000
5133,1000
3620,500
4578,1000
8292,3000
1360,2500
3079,2000
3279,301500
3223,5500
2470,4000
43,1500
7012,1500
4409,3500
8038,1000
1388,500
9928,1000
9517,1000
9470,7500
6329,10000
2105,9000
2449,2000
859,2000
8266,2000
9541,2000
3313,5500
1998,1000
3634,3000
3911,7500
9389,2500
8439,3000
1551,1500
1864,500
8588,5500
9679,17000
8575,2000
5667,500
3123,3500
1804,6500
1027,4000
2639,2000
8587,8000
9045,1500
5948,5000
929,500
8630,9000
6772,40500
4892,3000
7100,6500
3948,1000
7193,4500
5568,1000
1690,5000
7188,500
7136,1000
8916,11500
8088,500
8768,4000
2339,500
7398,2000
749,3000
9431,500
8434,27000
9521,1000
6773,2000
9682,1500
3387,3000
5391,500
8569,2000
6867,20500
2736,1500
4229,2500
8733,10000
5205,1000
597,3500
5575,6500
3041,2000
6230,4000
2947,500
4342,95500
8385,500
3307,6500
6041,500
1079,17000
5811,500
3793,1000
6305,7500
5198,1500
2753,14000
1839,2500
9509,3500
9028,500
5934,1000
9685,1500
6743,48500
245,2000
1867,500
4121,1000
5370,4500
4644,3000
2222,1000
6915,1500
8048,1000
3567,500
6421,500
6261,9500
3148,13000
4822,500
5077,5500
233,4000
5001,5500
7232,6500
9794,15000
7362,14000
5423,50500
9900,3500
1116,3000
9798,1000
9430,500
532,500
8058,4000
3601,3000
7600,6500
5258,33500
6649,1000
9887,7000
8608,3000
8803,500
5784,1000
4804,2500
5071,3000
8936,2000
6137,2000
2549,2500
2264,4000
99,3500
2179,1000
2991,1000
828,1000
9837,1000
2631,131000
6719,17000
6525,1000
7556,2000
599,500
4815,4000
3337,3000
7591,5500
9878,4500
7224,5500
7519,10000
7051,8000
3500,2000
3553,8500
7196,2500
5999,5500
5477,5000
4144,2500
7930,1000
125,3000
7693,4500
4065,6500
9426,8000
6183,8000
7371,2000
9561,6000
2872,6500
6627,8500
7303,2500
501,1500
2635,18000
8989,3000
9217,5000
3140,500
1578,1000
3837,54500
4946,8000
59,2000
3852,3500
9375,2500
2308,143500
2977,1000
1665,2000
917,16000
2583,1000
4130,7500
2510,1000
5536,9500
2729,1000
7564,1000
5875,500
9633,33500
414,5500
6625,1500
1821,500
2483,2000
4531,1000
5682,1000
6563,16000
1450,500
6466,5500
7228,1000
6440,500
1026,1000
2801,500
4473,1500
491,6500
6990,3500
5675,500
8004,13500
1733,3500
3116,4000
6273,3000
4662,18500
2030,2500
829,10000
5422,11500
7691,1000
8416,24500
3541,2000
2701,1000
3443,3000
62,4500
7037,3000
1145,500
6659,4000
6122,26500
2419,5000
429,10000
7634,2000
4102,3000
8701,5500
3335,21500
1183,3500
8858,3000
6975,500
4607,2000
4196,17000
3062,1000
9620,1000
7375,17000
5052,1000
2581,8000
4521,3500
5048,14000
310,1000
6997,3500
3874,5000
7750,500
3795,3000
487,8500
626,4500
5060,5500
4678,9500
5218,611500
1962,4500
605,7000
9373,7500
2473,35500
2324,19000
9070,1500
3651,7000
5984,1500
5499,11500
2061,500
1277,2000
9621,13500
8518,48500
5997,1500
5932,3000
270,12500
6275,1000
4533,2000
2751,4500
6062,224500
9164,7000
3677,4500
3756,2000
3555,4000
2897,5000
7483,500
9991,5500
4698,1500
4697,7500
1246,11000
7330,6000
1619,1000
9772,26500
8614,9500
9435,1000
8617,9500
6775,1500
8337,1500
5721,4500
1144,2000
8601,9500
4744,6500
1175,8000
6922,500
9510,1500
5505,500
174,8500
8026,3000
5927,500
6998,500
1817,500
9777,10000
7452,500
9302,3500
1920,2500
7706,8500
4048,3000
9396,5500
6195,1000
9534,2500
4464,500
7902,1500
4754,1000
1235,10000
1928,1500
1275,12000
5206,2500
5108,500
4281,1000
4393,500
8718,11500
7038,16000
8264,55000
4611,1000
1044,500
5732,1000
9982,3500
5994,29500
7866,2000
7799,500
5246,3000
8153,42500
9941,1000
4334,1000
1096,2500
9126,7000
6433,4500
1947,500
5975,1000
1921,3000
6971,500
8798,31500
1463,4000
1937,500
2310,1000
3250,1000
5332,13500
8568,4500
2933,500
2515,4500
857,2500
8438,2000
7534,8500
2213,500
2165,3000
6618,21500
7793,1000
2988,7500
5918,500
3354,7500
1436,4000
774,14000
9543,500
827,1000
3475,9500
4109,1500
2491,5500
3883,2000
9154,13000
6480,1500
7387,16500
5558,500
499,3000
1757,5500
3716,500
1229,13500
7445,11000
3172,2500
8040,2500
5415,10000
4088,1000
7291,4500
2082,3500
4467,9500
3049,8500
759,2000
4141,3000
6574,8000
2911,4000
892,2000
9427,19000
1793,500
4773,39000
2717,500
4431,9000
4462,3500
8854,4000
2903,500
7574,2500
9394,4000
3235,12000
4359,1500
6140,500
7321,4000
908,1500
7656,2000
6491,4500
9761,4000
9391,5500
1957,11500
2460,1500
6136,3000
8076,9000
2461,6000
1876,1500
3706,41000
9023,1000
5781,1500
611,10500
8115,1000
6422,2500
11,500
2021,2500
6277,8000
9326,1500
2817,2500
677,2000
9487,3500
9867,500
5853,5000
2377,3000
1298,500
4247,10500
2743,1500
8198,1500
1250,1000
8148,500
9827,3000
3212,500
1603,7500
7569,4500
1285,2000
165,2500
708,500
2958,1000
9895,11500
9340,500
1330,1500
5385,7000
720,1500
5613,1500
1799,1000
7984,27500
1801,12000
3479,36500
4988,3500
77,3500
1632,10000
9312,500
8362,1500
3280,1000
4058,7500
8486,1000
6232,10500
8357,6500
5801,123500
8,5000
4663,500
8651,8000
3871,1000
834,3500
6154,500
3033,1000
1682,5500
8527,2500
2849,51500
7969,91000
6427,3000
3164,1000
9480,500
6347,24500
7137,2500
8404,4000
9535,32000
1261,7000
1693,500
7737,2000
2895,500
5354,11500
642,1500
8644,23000
9997,500
6502,2000
7409,10000
4987,1500
6889,1500
9600,4500
404,1000
1425,500
1676,9500
8602,1000
255,4000
5203,6000
7746,3500
6197,1000
4265,500
9234,1000
9019,5000
1657,7500
5704,11000
7480,2000
7525,2500
7147,8000
5574,1500
3055,11500
6604,500
3806,6500
3512,24000
4224,2000
5195,2500
4330,10000
8083,1000
8615,2000
5988,500
4177,4500
3519,14500
8263,1000
6047,203500
2304,6500
4929,5500
6726,6500
4402,36000
5177,2500
8604,500
7566,1000
1452,10000
5166,3000
955,2500
3591,10000
6009,2000
3300,6500
2028,2000
3353,66000
9880,21000
389,2000
2167,500
8278,500
8666,3500
4763,3500
3493,500
2531,6000
3344,1500
